trial,spearman_rho,top10_overlap,top20_overlap,w_centrality,w_essentiality,w_survival,w_druggability
129,0.9187718648392804,0.7,0.85,0.28972063059451336,0.07043366239090955,0.24052284242770736,0.39932286458686983
130,0.9389225007202534,0.8,0.9,0.174176851082076,0.17178019760165864,0.3390167614281924,0.3150261898880729
131,0.9367164670535456,0.8,0.8,0.18033960812913283,0.39547416261641194,0.19984719311712362,0.2243390361373317
132,0.9554183644071285,0.9,0.9,0.23053615080203607,0.19654249003028118,0.391244267923008,0.18167709124467477
133,0.9969708194427295,1.0,1.0,0.27741772983931945,0.27348337080135576,0.2410371565566656,0.20806174280265913
134,0.9026217228464418,0.7,0.85,0.18023019879661417,0.1434484362146827,0.4513761398227,0.22494522516600313
135,0.9336872864962751,0.9,0.85,0.2228709400843867,0.15746249230767442,0.4328667880845695,0.1867997795233692
136,0.982187101288225,1.0,0.9,0.28900746970589203,0.3140459738088531,0.2721518544604189,0.12479470202483607
137,0.980639585133967,1.0,0.95,0.3158246531788815,0.17726037220948818,0.33501854852248797,0.1718964260891424
138,0.9617895213400831,0.9,0.9,0.1856727124745966,0.23884601466238936,0.32414358501148743,0.25133768785152666
139,0.9495246326707001,0.9,0.9,0.2660083895916056,0.28718745555374386,0.14255401672557427,0.3042501381290762
140,0.9882783882783883,1.0,0.95,0.2408664947541424,0.2445201395295927,0.2840241532349722,0.23058921248129255
141,0.9589743589743589,0.9,0.9,0.17980390298182897,0.2958552757857634,0.26433789175750527,0.26000292947490233
142,0.8871136354282422,0.7,0.8,0.2428295741404772,0.07866319012427503,0.2245191822196782,0.45398805351556953
143,0.9668436432481377,0.9,0.7,0.4300010484600654,0.25391006290335677,0.2500230461679301,0.06606584246864772
144,0.9255545952175164,0.8,0.85,0.1704103760086669,0.3001793851202142,0.18446350470254905,0.34494673416856986
145,0.9455241387825658,0.9,0.85,0.2926200453568074,0.14716076562904587,0.20319554250258032,0.3570236465115664
146,0.9466765444293533,0.9,0.9,0.19687735545657817,0.34727628240236463,0.18660425878783518,0.26924210335322213
147,0.9001687451125653,0.8,0.6,0.5372752952050147,0.2164533121203207,0.09040820241724563,0.15586319025741907
148,0.9017327242046344,0.8,0.9,0.10282686630179898,0.25770372041818557,0.2903448197800376,0.34912459349997776
149,0.977495164012018,0.9,0.85,0.3368488746392569,0.12444836234200954,0.30026007752701594,0.23844268549171765
150,0.9531300160513643,0.9,0.85,0.2673165246843106,0.24068823192453134,0.38291380218634685,0.10908144120481127
151,0.9667448656212699,0.9,0.9,0.1920667987917443,0.2594969910720125,0.31259866882078746,0.23583754131545573
152,0.9606371156932955,0.8,0.9,0.1965512109809124,0.3483199463533801,0.24058438829408618,0.2145444543716213
153,0.8476025846812362,0.6,0.8,0.11518069444501321,0.06565795806891955,0.41229353514696904,0.40686781233909813
154,0.9703831748775568,0.9,0.9,0.2987470015171474,0.26795925405291554,0.16045799163373106,0.272835752796206
155,0.915018315018315,0.8,0.85,0.1582969033527676,0.2914881722065041,0.1894083037707025,0.36080662067002583
156,0.9504136313125077,0.8,0.75,0.44136984176517696,0.14010111318319063,0.17936186737307255,0.2391671776785599
157,0.8399967074124377,0.6,0.75,0.09767048945659755,0.11408236924432973,0.4895893687018083,0.2986577725972644
158,0.9616084290241593,0.9,0.95,0.20699785575342936,0.2761207283754294,0.22290801371437455,0.2939734021567667
159,0.9552701979668271,0.8,0.9,0.18365047847129481,0.21563085416520675,0.3047022816748726,0.29601638568862576
160,0.9535909783100794,0.9,0.85,0.3064371843647974,0.1978339434906434,0.169070830210716,0.32665804193384324
161,0.9325842696629212,0.9,0.85,0.24177206309339713,0.07881131395159414,0.3792282604200752,0.3001883625349336
162,0.9511873893896365,0.9,0.85,0.27990624269201553,0.40519860956196196,0.2292411354981799,0.08565401224784243
163,0.963090093427172,0.9,0.7,0.4664362298001572,0.23375951715344093,0.19901247283103335,0.10079178021536872
164,0.9364530600485657,0.8,0.8,0.3344030221536568,0.056522041820116616,0.4053273665027233,0.20374756952350345
